Reference,Name,Type,Group,Status,Change,TerminalBasis,Notes
BT1,배터리 + BMS,battery,power,hold,유지,기능 포트. 실물 모델·핀순서 확인,화학계·셀 수·BMS 실모델 미확정. 8S LiFePO4 25.6V/29.2V는 검토 시나리오이며 실물 확정값이 아님. CHG 단자는 BMS 제조사 지정 충전 포트의 기능명이다. 배터리 내부 셀/BMS 조립 지시가 아니다. 외형은 기존 모델의 임시 공간.
F0,메인 DC 퓨즈,fuse,power,hold,재선정,기능 포트. 실물 모델·핀순서 확인,배터리 단자에 최대한 근접한 절연 홀더. DC 정격전압·예상 단락전류 차단용량·전선 허용전류·시간전류곡선 모두 승인 전 정격 A 미정. 기존 숫자를 그대로 사용하지 않는다.
S0,주전원 차단기,switch,power,hold,유지,기능 포트. 실물 모델·핀순서 확인,정비용 배터리 분리. 모든 양극 분기보다 상류. 충전 포트는 별도 배터리 포트이므로 S0 OFF만으로 충전 포트까지 무전압이 되지 않는다.
X24,절연 + 분배 블록,terminal,power,hold,유지,기능 포트. 실물 모델·핀순서 확인,배터리전압 버스. 24V라는 이름은 정전압 의미가 아니다. 터치 방지 커버·단자 허용전류·토크 필요.
X0,0V 스타 분배 블록,terminal,power,review,유지,기능 포트. 실물 모델·핀순서 확인,배터리 -에 개별 전력 귀환. 프레임은 전류 귀환선으로 사용하지 않는다. 신호선·USB 실드로 모터 전류를 흘리지 않는다. 비절연 DC-DC 및 공통 0V 기준이며 시스템 전체의 갈바닉 절연을 의미하지 않는다.
K1,주접촉기 1,contactor,safety,hold,교체,기능 포트. 실물 모델·핀순서 확인,"두 주접점은 직렬. 24V 코일로 변경하는 D2 제안. DC 차단능력·양방향 전류·자석 극성·기계 수명·미러 NC의 제조사 적합성을 확인한다. 일반 보조 NC를 미러 접점으로 간주하지 않는다. EDM_IN/OUT은 기능명, 실단자 번호 미정."
Z1,코일 억제기 1,suppressor,safety,hold,재선정,기능 포트. 실물 모델·핀순서 확인,코일 제조사 지정 억제기. 단순 다이오드를 임의 병렬하면 차단 지연이 달라진다. 설치 극성과 실제 탈락시간 검증.
K2,주접촉기 2,contactor,safety,hold,추가,기능 포트. 실물 모델·핀순서 확인,"두 주접점은 직렬. 24V 코일로 변경하는 D2 제안. DC 차단능력·양방향 전류·자석 극성·기계 수명·미러 NC의 제조사 적합성을 확인한다. 일반 보조 NC를 미러 접점으로 간주하지 않는다. EDM_IN/OUT은 기능명, 실단자 번호 미정. D3의 조향 전원 F11도 T1 하류에서 분기. 접점 개방 후 회생/잔류에너지 때문에 하류가 즉시 무전압이라고 가정하지 않는다."
Z2,코일 억제기 2,suppressor,safety,hold,추가,기능 포트. 실물 모델·핀순서 확인,코일 제조사 지정 억제기. 단순 다이오드를 임의 병렬하면 차단 지연이 달라진다. 설치 극성과 실제 탈락시간 검증.
F1,L 구동 분기 퓨즈,fuse,power,hold,재선정,기능 포트. 실물 모델·핀순서 확인,정격 A 미확정. SMC G2 포함 단자대의 제조사 안내가 15/16A로 달라 최대 15A 측으로 보수 검토. 25A 퓨즈를 해당 단자대에 무조건 적용 금지. 모터 전류 제한은 별도로 설정.
